package_code,procedure_name,tier3_cost,tier2_cost,tier1_cost,category,private_tier1,private_tier2,private_tier3,private_metro
MG035,"Acute transverse
myelitis",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG036,Atrial Fibrillation,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG037,Cardiac Tamponade,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG038,"Congestive heart
failure",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG039,Asthma,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG039,Asthma,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG040,Respiratory failure,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG040,Respiratory failure,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG040,Respiratory failure,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG041,Upper GI bleeding,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG041,Upper GI bleeding,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG042,Lower GI hemorrhage,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG043,Addison’s disease,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG044,Renal colic,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG045,AKI / Renal failure,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG047,"Pediatric seizure
disorders",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG049,Acute ischemic stroke,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG049,"Acute hemorrhagic
stroke",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG050,"Immune mediated
CNS disorders",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG051,Hydrocephalus,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG052,Myxedema coma,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG053,Thyrotoxic crisis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG054,Gout,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG055,Pneumothorax,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG056,"Neuromuscular
Disorders",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG057,Hypoglycemia,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG058,Diabetic Foot,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG059,Diabetic ketoacidosis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG061,"Hyperosmolar Non-
Ketotic coma",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG062,"Accelerated
hypertension",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG063,"Hypertensive
emergencies",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG064,Severe anemia,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG065,Sickle cell Anemia,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG066,Anaphylaxis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG067,Heat stroke,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG068,"Systematic lupus
erythematosus",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG069,"Guillain Barre
syndrome",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG070,Snake bite,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG071,Poisoning,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG071,Poisoning,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG072,"Haemodialysis /
Peritoneal Dialysis",500.0,700.0,875.0,MG,2800.0,2240.0,1600.0,3500.0
MG072,"Haemodialysis /
Peritoneal Dialysis",1500.0,1800.0,1800.0,MG,5760.0,5760.0,4800.0,7200.0
MG072,"Haemodialysis /
Peritoneal Dialysis",1500.0,1800.0,1800.0,MG,5760.0,5760.0,4800.0,7200.0
MG073,Plasmapheresis,2000.0,2300.0,2300.0,MG,7360.0,7360.0,6400.0,9200.0
MG074,Blood transfusion,2000.0,2300.0,2300.0,MG,7360.0,7360.0,6400.0,9200.0
MG074,Blood transfusion,2000.0,2300.0,2300.0,MG,7360.0,7360.0,6400.0,9200.0
MG075,"High end radiological
diagnostic
(CT, MRI, Imaging
including nuclear
imaging)",5000.0,5800.0,5800.0,MG,18560.0,18560.0,16000.0,23200.0
MG076,"High end
histopathology
(Biopsies) and
advanced serology
investigations",5000.0,5800.0,5800.0,MG,18560.0,18560.0,16000.0,23200.0
MG077,"Continuous renal
replacement
therapy/Continuous
veno-venous
hemofiltration",33000.0,37500.0,45000.0,MG,144000.0,120000.0,105600.0,180000.0
MG078,"Alcoholic Liver
Disease",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG079,"Peripheral Arterial
Thrombosis",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG081,"IHD / CAD /
Arrhythmia",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG081,"IHD / CAD /
Arrhythmia",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG082,"Bone marrow
aspiration of biopsy",1200.0,1600.0,1600.0,MG,5120.0,5120.0,3840.0,6400.0
MG083,Lumbar puncture,100.0,200.0,200.0,MG,640.0,640.0,320.0,800.0
MG084,Joint Aspiration,200.0,300.0,300.0,MG,960.0,960.0,640.0,1200.0
MG085,"DVT Pneumatic
Compression
Stockings (Add on
package in ICU)",900.0,1100.0,1200.0,MG,3840.0,3520.0,2880.0,4800.0
MG086,Acute Ischemic Stoke,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG086,"Acute ischemic stroke-
intravenous
thrombolysis",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
